aback	by surprise
primal	first or earliest, and often basic
primeval	at or from the ancient, original stages in the development of something
primigravida	a woman during her first pregnancy
primipara	a woman who has given birth only once, whether it was a single or a multiple birth, and whether the baby was alive or stillborn
primitive	at or relating to the first stages or form of something; crudely simple in design or construction
primordial	existing at the beginning of time or the development of something
primordium	a tissue or organ in the earliest stage of embryonic development, found when the dividing cells in the fertilized ovum first differentiate
primp	to groom yourself, somebody, or something in a fussy way
primrose	small perennial plant with colorful flowers
primrose path	an easy way or option, especially one that leads to disaster
principal	most important, consequential, or influential : chief
principle	a comprehensive and fundamental law, doctrine, or assumption
privation	lack of the usual comforts or necessaries of life; the act of depriving
privileged	belonging to a class that enjoys special privileges; favored : not subject to the usual rules or penalties because of some special circumstance
privy	made a participant in knowledge of something private or secret
pro bono	done without compensation for the public good
pro forma	done as a formality; perfunctory; provided in advance so as to prescribe form or describe items
pro rata	in proportion, according to a factor that can be calculated exactly
pro tempore	for the time being; temporarily
probative	serving to test or try (exploratory) : serving to prove (substantiating)
probity	adherence to the highest principles and ideals : uprightness
proclivity	a natural propensity or inclination; predisposition
prodigal	rashly or wastefully extravagant
prodigious	impressively great in size, force, or extent; enormous; extraordinary; marvelous
prodigy	a person with exceptional talents or powers; a portentous sign or event; an omen
profligate	recklessly wasteful; wildly extravagant
profound	penetrating beyond what is superficial or obvious; deep
profuse	plentiful; copious; giving or given freely and abundantly; extravagant
profusion	abundance; lavish or unrestrained expense; extravagance
progenitor	a direct ancestor; an originator; a founder
progeny	one born of, begotten by, or derived from another; an offspring or a descendant. b. Offspring or descendants considered as a group; a result
progressive	moving forward; advancing; proceeding in steps; continuing steadily by increments
proliferate	to grow or multiply by rapidly producing new tissue, parts, cells, or offspring; to increase or spread at a rapid rate
prolific	producing offspring or fruit in great abundance; fertile; producing abundant works or results
prologue	an introduction or a preface
Prometheus	Greek Mythology - a Titan who stole fire from Olympus and gave it to humankind, for which Zeus chained him to a rock and sent an eagle to ea
promiscuous	indiscriminate in the choice of sexual partners; casual; random
promulgate	to make known (a decree, for example) by public declaration; announce officially
propensity	an innate inclination; a tendency
propriety	proper; appropriate; conformity to prevailing customs and usages
prorate	to divide, distribute, or assess proportionately
prorogue	to discontinue a session of (a parliament, for example); to postpone; defer
proscribe	to denounce or condemn; to prohibit; forbid
proselyte	a new convert to a doctrine or religion
prosper	to be fortunate or successful, especially in terms of one's finances; thrive
prosperous	having success; flourishing; well-to-do; well-off
prostrate	to make (oneself) bow or kneel down in humility or adoration; to throw down flat
prostration	total exhaustion or weakness; collapse
protagonist	a leader, proponent, or supporter of a cause
proverb	short, pithy saying in frequent and widespread use that expresses a basic truth or practical precept
provident	providing for future needs or events; frugal; economical
provost	a university administrator of high rank
prowess	superior skill or ability; superior strength, courage, or daring, especially in battle
proximal	situated close to ; of, relating to, or being the mesial and distal surfaces of a tooth
proximate	closely related in space, time, or order; very near
prurient	inordinately interested in matters of sex; lascivious
psalm	sacred song; hymn
psyche	the spirit or soul; psychiatry - the mind functioning as the center of thought, emotion, and behavior and consciously or unconsciously adjus
psychiatry	the branch of medicine that deals with the diagnosis, treatment, and prevention of mental and emotional disorders
psychology	the science that deals with mental processes and behavior
psychosis	a severe mental disorder, with or without organic damage, characterized by derangement of personality and loss of contact with reality and c
psychosomatic	a disorder having physical symptoms but originating from mental or emotional causes
pugnacious	combative in nature; belligerent
puissance	power; might
pulchritude	beauty
pulchritudinous	characterized by or having great physical beauty and appeal
pundit	a source of opinion; a critic; a learned person
pungent	sharp, acrid; penetrating, biting, or caustic; to the point
purview	extent or range of function, power, or competence; scope; range of vision, comprehension, or experience; outlook
pusillanimous	timid; lacking courage; cowardly
pyloric	of, relating to, or situated in or near the posterior part of the stomach
pylorus	the muscular opening from the vertebrate stomach into the intestine
pyrrhic victory	a victory won at great expense
quagmire	land with a soft, muddy surface; a difficult or precarious situation; a predicament
qualm	a feeling of uneasiness, or a sense that something you're doing is wrong, and it sounds almost like how it makes your stomach feel
quaint	odd, especially in an old-fashioned way
quandom	that once was; former
quantum	smallest amount of a physical quantity that can exist independently, especially a discrete quantity of electromagnetic radiation
quantum theory	theory that radiant energy is transmitted in the form of discrete units
quark	any of a group of hypothetical elementary particles having electric charges of magnitude one-third or two-thirds that of the electron, regar
quartile	the value of the boundary at the 25th, 50th, or 75th percentiles of a frequency distribution divided into four parts, each containing a quar
quasi	having a likeness to something; resembling
Quaternary	the geologic time, system of rocks, and sedimentary deposits of the second period of the Cenozoic Era, from the end of the Tertiary Period t
quatrain	four-line verse: a verse of poetry consisting of four lines, especially one with lines that rhyme alternately
quaver	to quiver, as from weakness; tremble
queasy	experiencing nausea; nauseated; uneasy; troubled; ill at ease; squeamish
quell	to put down forcibly; suppress; to pacify; quiet
querulous	complaining in a petulant or whining manner
quibble	petty objection: an unimportant distinction or petty objection
quid pro quo	an equal exchange or substitution
quintessence	the pure, highly concentrated essence of a thing
quintile	one-fifth of a ranked list; one of five equal measurements that a set of things can be divided into
quip	a clever, witty remark often prompted by the occasion
quixotic	caught up in the romance of noble deeds and the pursuit of unreachable goals; idealistic without regard to practicality
quizzical	suggesting puzzlement; questioning
quorum	the minimal number of members of a committee or an organization who must be present for valid transaction of business
quotidian	everyday; commonplace
rabbi	person trained in Jewish law, ritual, and tradition and ordained for leadership of a Jewish congregation
rabble	a tumultuous crowd; a mob; the lowest or coarsest class of people
rabble rouser	leader or speaker who stirs up the passions of the masses; a demagogue.
ramification	a development or consequence growing out of and sometimes complicating a problem, plan, or statement; the act or process of branching out or
ramify	to have complicating consequences or outgrowths
rampage	course of violent, frenzied action or behavior
rampant	extending unchecked; unrestrained; occurring without restraint and frequently, widely, or menacingly; rife
rampart	a fortification consisting of an embankment, often with a parapet built on top; a means of protection or defense; a bulwark
rancor	bitter, long-lasting resentment; deep-seated ill will
randy	lascivious; lecherous; of or characterized by frank, uninhibited sexuality
rapacious	taking by force; plundering; greedy; ravenous; subsisting on live prey
rapt	deeply moved or delighted; enraptured; deeply absorbed; engrossed
raptly	deeply moved or delighted; enraptured; deeply absorbed; engrossed
rapture	the state of being transported by a lofty emotion; ecstasy; an expression of ecstatic feeling; the transporting of a person from one place t
rascal	one that is playfully mischievous; an unscrupulous, dishonest person; a scoundrel
ratify	to confirm by expressing consent, approval, or formal sanction
rationalize	to devise self-satisfying but incorrect reasons for (one's behavior)
raucous	rough-sounding and harsh; boisterous and disorderly
ravenous	extremely hungry; voracious; rapacious; predatory; greedy for gratification
raze	to level to the ground; demolish
rear guard	a detachment of troops that protects the rear of a military force
rebuke	to criticize or reprove sharply; reprimand
rebut	to drive or beat back (repel) : to expose the falsity of (refute) : to contradict or oppose by formal legal argument
recalcitrant	stubborn resistance to and defiance of authority or guidance
recapitulate	repeat in concise form
recidivism	a tendency to relapse into a previous condition or mode of behavior; especially : relapse into criminal behavior 
reciprocate	give or take mutually; interchange
recluse	person who withdraws from the world to live in seclusion and often in solitude
reclusive	seeking or preferring seclusion or isolation
recompense	amends made, as for damage or loss; payment in return for something, such as a service
recondite	not easily understood; abstruse
reconnaissance	an inspection or exploration of an area, especially one made to gather military information
reconnoiter	to make a preliminary inspection of, especially in order to gather military information
recourse	a source of help or strength : the right to demand payment from the maker or endorser of a negotiable instrument
recriminate	to accuse in return
rectitude	strong moral integrity in character or actions; correctness in judgement
rector	a cleric in charge of a parish in the Protestant Episcopal Church
rectory	house in which a parish priest or minister lives
recumbent	suggestive of repose : leaning, resting; lying down
recursive	of, relating to, or constituting a procedure that can repeat itself indefinitely
recuse	to disqualify (oneself) as judge in a particular case; broadly : to remove (oneself) from participation to avoid a conflict of interest
redact	to obscure or remove (text) from a document prior to publication or release 
redaction	removing sensitive information
redress	relief from wrong or injury : to make up for
referendum	submission of a proposed public measure or actual statute to a direct popular vote
refractory	resistant to authority or control
refute	to prove to be false or erroneous; overthrow by argument or proof; to deny the accuracy or truth of
regime	a government in power; administration
reify	make (something abstract) more concrete or real
reminisce	to recollect and tell of past experiences or events
remonstrate	to say or plead in protest, objection, or reproof
remorse	moral anguish arising from repentance for past misdeeds; bitter regret
remunerate	to pay (a person) a suitable equivalent in return for goods provided, services rendered, or losses incurred; recompense
renegade	one who rejects a religion, a cause, an allegiance, or a group for another; a deserter
renege	to fail to carry out a promise or commitment
repeal	to revoke or rescind, especially by an official or formal act
repent	to feel remorse, contrition, or self-reproach for what one has done or failed to do
repine	to be discontented or low in spirits; complain or fret; to yearn after something
replete	abundantly supplied; abounding; filled to satiation; gorged
reprehend	to reprove; censure
reprehensible	deserving rebuke or censure; blameworthy
repress	to hold back by an act of volition
reprieve	postpone or cancel the punishment of; bring relief to
reprimand	to reprove severely, especially in a formal or official way
reprisal	retaliation for an injury with the intent of inflicting at least as much injury in return
reprise	recurrence or resumption of an action
reprobate	a morally unprincipled person; shameless; rejected by God and without hope of salvation
reprove	to voice or convey disapproval of; rebuke; to find fault with
repudiate	to reject the validity or authority of
repugnant	arousing disgust or aversion; offensive or repulsive
repulse	to drive back; repel
repulsive	causing repugnance or aversion; disgusting
requim	a hymn, composition, or service for the dead
requite	to make repayment or return for; to avenge
rescind	to make void; repeal or annul
resent	feel or show anger at insult
resolute	firm or determined; unwavering
resonant	strong and deep in tone; resounding
resplendent	splendid or dazzling in appearance; brilliant
restitution	the act of restoring to the rightful owner something that has been taken away, lost, or surrendered
resuscitate	to restore consciousness, vigor, or life to
reticent	inclined to keep one's thoughts, feelings, and personal affairs to oneself
reticulate	to form a network, or be formed into a network
retinue	attendants accompanying a high-ranking person
retort	reply, especially to answer in a quick, caustic, or witty manner; present a counterargument to
retribution	something justly deserved; recompense
retrospect	review, survey, or contemplation of things in the past
revere	to regard with awe, deference, and devotion
reverence	feeling of profound awe and respect and often love; veneration
reverie	state of abstracted musing; daydreaming
revile	to assail with abusive language; vituperate
revolt	to attempt to overthrow the authority of the state; rebel; to oppose or refuse to accept something
rhapsody	exalted or excessively enthusiastic expression of feeling in speech or writing
rhetoric	skill in using language effectively and persuasively; language that is elaborate, pretentious, insincere, or intellectually vacuous
ribald	characterized by or indulging in vulgar, lewd humor; a vulgar, lewdly funny person
ridicule	make fun of
rife	in widespread existence, practice, or use; increasingly prevalent; abundant or numerous
riffraff	people regarded as disreputable or worthless; rubbish; trash
right	people and groups who advocate the adoption of conservative or reactionary measures, especially in government and politics
right wing	conservative or reactionary faction of a group
rigmarole	confused, rambling, or incoherent discourse; nonsense; a complicated, petty set of procedures
rigor	strictness or severity, as in temperament, action, or judgment; a harsh or trying circumstance; hardship; a state of rigidity in living tiss
rigor mortis	muscular stiffening following death
rogue	unprincipled, deceitful, and unreliable person; a scoundrel or rascal; one who is playfully mischievous; a scamp
romp	play or frolic boisterously
rote	memorizing process using routine or repetition, often without full attention or comprehension
rotund	rounded in figure; plump; having a full, rich sound; sonorous
rout	a disorderly retreat or flight following defeat; a disorderly crowd of people; a mob
rue	to feel regret, remorse, or sorrow
ruminate	to turn a matter over and over in the mind
rural	relating to, or characteristic of the country
sacerdotal	of or relating to priests or a priesthood : priestly; of, relating to, or suggesting religious belief emphasizing the powers of priests as essential mediators between God and humankind
sacrilege	crime of dishonoring something sacred
sadism	the gaining of sexual gratification by causing physical or mental pain to other people, or the acts that produce such gratification
safe harbor	something (as a statutory or regulatory provision) that provides protection (as from a penalty or liability)
sagacious	quick and clever in understanding
sage	one venerated for experience, judgment, and wisdom
salacious	lustful
salient	standing out; most noteiceable or important
salubrious	healthful; pleasantly invigorating
salvation	preservation or deliverance from destruction, difficulty, or evil
samsara	the indefinitely repeated cycles of birth, misery, and death caused by karma
sanctify	make sacred or holy
sanctimony	outward pretense of holiness
sanctuary	sacred place; place of shelter and protection
sanctum	private place where one is free from intrusion; private office
sanguinary	accompanied by bloodshed
sanguine	cheerfully confident; optimistic; of the color of blood; red
Sanskrit	ancient Indic language that is the language of Hinduism and the Vedas and is the classical literary language of India
sapient	wise
sarcasm	keen or bitter words of (mocking) criticism
sarcophagus	stone coffin
sardonic	scornfully or cynically mocking
sartorial	relating to a tailor, tailoring, or tailored clothing
sashay	to walk or proceed, especially in an easy or casual manner; to strut or flounce in a showy manner
sate	to satisfy (an appetite) fully
satiate	to satisfy (an appetite or a desire) fully
satire	irony, sarcasm, or caustic wit used to attack or expose folly, vice, or stupidity
saturnine	gloomy
satyr	lecherous man
savant	a learned person; a scholar; an idiot savant
savoir-faire	ability to say or do the right or graceful thing
savory	appetizing to the taste or smell
scamp	rogue; a rascal; a mischievous youngster
scandal	a publicized incident that brings about disgrace or offends the moral sensibilities of society
scandalous	shocking; containing material damaging to reputation; defamatory
scant	barely sufficient or adequate
scanty	barely sufficient or adequate
scarify	 to make scratches or superficial incisions in (the skin, a wound, etc.), as in vaccination
schism	division, separation; also : discord, disharmony
schizophrenia	mental disorder with splitting of personality
schlep	to carry clumsily or with difficulty; lug; a person regarded as clumsy or stupid
scilicet	that is to say : to wit, namely
scintillate	to throw off sparks; flash; sparkle or shine
scoff	mock at or treat with derision
scold	reprimand or criticize harshly and usually angrily
scorn	contempt or disdain felt toward a person or object considered despicable or unworthy
scoundrel	villain; rogue
scowl	wrinkle or contract the brow as an expression of anger or disapproval
scrupulous	conscientious and exact; painstaking
scurrilous	vulgar, coarse, and abusive language
secular	worldly rather than spiritual
sedition	incitement of resistance to or insurrection against lawful authority
sedition	rebellion against the authority of a state
seduce	to lead away from duty, accepted principles, or proper conduct; to entice or beguile into a desired state or position
sedulous	persevering and constant in effort or application; assiduous
seethe	to churn and foam as if boiling; to be in a state of turmoil or ferment
semantic	relating to meaning in language or logic
semblance	an outward or token appearance
seminal	having the power to originate; creative; highly influential in an original way
sentiment	general mental disposition; an opinion about a specific matter; a view; a thought, a view, or an attitude based on feeling or emotion instea
sentinel	a guard; a sentry
sepulcher	a burial vault; a receptacle for sacred relics, especially in an altar
sepulchral	relating to a burial vault or a receptacle for sacred relics; suggestive of the grave; funereal
sequacious	intellectually servile
seraphim	an order of angels; one of the 6-winged angels standing in the presence of God
serendipity	the faculty of making fortunate discoveries by accident
serene	unaffected by disturbance; calm and unruffled
serf	a member of a servile, feudal class of people in Europe, bound to the land and owned by a lord; a person in servitude
servile	abjectly submissive; slavish
servile	of or befitting a slave or a menial position : meanly or cravenly submissive : abject
servitude	state of subjection to an owner or a master; lack of personal freedom
servomechanism	self-regulating feedback system or mechanism
sesquipedalian	a long word
shepherd	a person who herds, tends, and guards sheep; a person who protects, guides, or watches over a person or group of people; to tend or guard as
Shiva	Hinduism. One of the principal Hindu deities, worshiped as the destroyer and restorer of worlds and in numerous other complementary forms. S
shrew	a woman with a violent, scolding, or nagging temperament; a scold
simile	a figure of speech in which two essentially unlike things are compared, often in a phrase introduced by like or as
simpatico	of like mind or temperament; compatible; having attractive qualities; pleasing
sincere	not feigned or affected; genuine; without hypocrisy or pretense; true
sinew	a piece of tough fibrous tissue uniting muscle to bone or bone to bone; a tendon or ligament
slake	to satisfy, quench
slander	false statements injurious to a person's reputation
slander	oral defamation
sloth	aversion to work or exertion; laziness; indolence
slothful	disinclined to work or exertion; lazy
smarmy	hypocritically, complacently, or effusively earnest; unctuous
smite	to inflict a heavy blow on, with or as if with the hand, a tool, or a weapon
smitten	struck, as with a hard blow; very much in love; to affect suddenly and strongly with a specified feeling; to impress favorably; charm; enamo
sneer	scornful facial expression characterized by a slight raising of one corner of the upper lip
snipe	to shoot at individuals from a concealed place; to make malicious, underhand remarks or attacks
snivel	complain or whine tearfully
socialism	social system in which the means of producing and distributing goods are owned collectively and political power is exercised by the whole co
sociology	study of human social behavior, especially the study of the origins, organization, institutions, and development of human society
sociopath	one who is affected with a personality disorder marked by aggressive, antisocial behavior
sojourn	to reside temporarily
solace	comfort in sorrow, misfortune, or distress; consolation
solemn	deeply earnest, serious, and sober
solicit	to seek to obtain by persuasion, entreaty, or formal application
solidarity	union of interests, purposes, or sympathies among members of a group; fellowship of responsibilities and interests
solstice	Either of two times of the year when the sun is at its greatest distance from the celestial equator. The summer solstice in the Northern Hem
somatic	relating to, or affecting the body, especially as distinguished from a body part, the mind, or the environment; corporeal or physical
somber	dark; gloomy; melancholy; dismal
sommelier	a wine steward in a restaurant
somnambulate	to walk or perform another act while asleep or in a sleeplike condition
somnolence	a state of drowsiness; sleepiness
somnolent	drowsy; sleepy; inducing or tending to induce sleep; soporific
sonata	a composition for one to four instruments, one of which is usually a keyboard instrument, usually consisting of three or four independent mo
sonorous	having or producing a full, deep, or rich sound
sopor	an abnormally deep sleep or state of unconsciousness
soporific	causing sleep or drowsiness
sordid	filthy or dirty; foul; depressingly squalid; wretched; morally degraded
soul	the animating and vital principle in human beings, credited with the faculties of thought, action, and emotion and often conceived as an imm
sovereign	a monarch; a king, queen, or other supreme ruler; self-governing; independent
sparse	occurring, growing, or settled at widely spaced intervals; not thick or dense
spate	sudden flood, rush, or outpouring
special relativity	The physical theory of space and time developed by Albert Einstein, based on the postulates that all the laws of physics are equally valid i
specious	seeming to be good or right, but not so in fact
spiel	a voluble line of often extravagant talk; a speech delivered especially to sell or promote something
spirit	the vital principle or animating force within living beings; incorporeal consciousness; the soul, considered as departing from the body of a
spite	malicious ill will prompting an urge to hurt or humiliate
splendid	brilliant with light or color; radiant; very good or satisfying; praiseworthy
splendor	great light or luster; brilliance; magnificent appearance or display; grandeur
spoliation	the act of plundering : law - the destruction or material alteration of a bill of exchange, will, or the like
spontaneous	happening or arising without apparent external cause; self-generated
sprightly	full of spirit and vitality; lively; brisk
spurious	not being what it purports to be; false or fake
squalid	dirty and wretched, as from poverty or lack of care; morally repulsive; sordid
squander	to spend wastefully or extravagantly; dissipate
squeamish	easily nauseated or sickened; easily shocked or disgusted
stanch	to check or stop the flowing of; also : to stop the flow of blood from (a wound)
startosphere	region of the atmosphere above the troposphere and below the mesosphere
stasis	condition of balance among various forces; motionlessness
status quo	existing condition or state of affairs
staunch	firm and steadfast; true
steadfast	fixed or unchanging; steady
stench	a strong, foul odor; a stink
stigma	mark or token of infamy, disgrace, or reproach
stigmata	marks or sores corresponding to and resembling the crucifixion wounds of Jesus, sometimes occurring during religious ecstasy or hysteria
stodgy	heavy; dull
stoic	one who is seemingly indifferent to or unaffected by joy, grief, pleasure, or pain
stolid	not easily stirred or moved mentally; unemotional; impassive
stouthearted	brave; courageous
strata	a horizontal layer of material, especially one of several parallel layers arranged one on top of another; a level of society composed of peo
stratus	low-altitude cloud formation consisting of a horizontal layer of gray clouds
stricture	restraint, limit, or restriction
strident	loud, harsh, grating, or shrill; discordant
stultify	to cause to appear or be stupid, foolish, or absurdly illogical; a. to impair, invalidate, or make ineffective : negate; b. to have a dulling or inhibiting effect on
stupefy	to dull the senses or faculties of; to amaze; astonish
stupendous	astounding force, volume, degree, or excellence; marvelous; huge
stupid	slow to learn or understand; obtuse
stymie	to thwart; stump
suave	smoothly agreeable and courteous
sub rosa	in secret; privately or confidentially
sublimate	Chemistry - to cause (a solid or gas) to change state without becoming a liquid. Psychology - to modify the natural expression of (an instin
sublime	majestic; of high spiritual, moral, or intellectual worth; not to be excelled; supreme; inspiring awe; impressive
subservient	subordinate in capacity or function; obsequious; servile
substrata	An underlying layer. Philosophy. The characterless substance that supports attributes of reality.
subvert	to destroy completely; ruin; to undermine the character, morals, or allegiance of; corrupt
succinct	clear, precise expression in few words; concise and terse
suffrage	right or privilege of voting
suffuse	spread through or over, as with liquid, color, or light
Sufi	A Moslem mystic
Sufism	Islamic mysticism
sulfa drug	synthetic organic compounds, derived chiefly from sulfanilamide, chemically similar to PABA and capable of inhibiting bacterial growth and a
sullen	showing a brooding ill humor or silent resentment; morose or sulky
summit	highest point or part; the top
sundry	various; miscellaneous
superable	possible to overcome; surmountable
superannuated	retired or ineffective because of advanced age; outmoded; obsolete
superficial	near the surface; concerned with or comprehending only what is apparent or obvious; shallow
superfluous	beyond what is required or sufficient
superlative	of the highest order, quality, or degree; surpassing or superior to all others
suppliant	asking humbly and earnestly; beseeching
supplicate	to ask for humbly or earnestly, as by praying
supremacist	one who believes that a certain group is or should be supreme
supreme	greatest in power, authority, or rank; paramount or dominant; ultimate; final
surfeit	to feed or supply to excess, satiety, or disgust; to overindulge
surly	sullenly ill-humored; gruff
surmount	to overcome (an obstacle, for example); conquer; to ascend to the top of; climb
surreal	oddly dreamlike quality
surreptitious	obtained, done, or made by clandestine or stealthy means
surrogate	one that takes the place of another; a substitute
sutra	Hinduism. Any of various aphoristic doctrinal summaries produced for memorization generally between 500 and 200 B.C. and later incorporated
suture	the process of joining two surfaces or edges together along a line by or as if by sewing
swoon	feel faint with joy: to be overwhelmed by happiness, excitement, adoration, or infatuation
sycophant	servile self-seeker who attempts to win favor by flattering influential people (brown nose)
symbiotic	a relationship of mutual benefit or dependence
sympathetic nervous system	part of the autonomic nervous system originating in the thoracic and lumbar regions of the spinal cord that in general inhibits or opposes t
synchronicity	coincidental occurrence of events and especially psychic events (as similar thoughts in widely separated persons or a mental image of an unexpected event before it happens) that seem related but are not explained by conventional mechanisms of causality - used especially in the psychology of C. G. Jung
syndicate	association of people or firms authorized to undertake a duty or transact specific business
systemic	relating to, or affecting the entire body or an entire organism; relating to or affecting a particular body system, especially the nervous s
tabernacle	the portable sanctuary in which the Jews carried the Ark of the Covenant through the desert; a place of worship
taboo	ban or an inhibition resulting from social custom or emotional aversion
tacit	not spoken; implied by or inferred from actions or statements
taciturn	habitually untalkative
tactile	perceptible to the sense of touch; tangible
tantalize	to excite (another) by exposing something desirable while keeping it out of reach
tantamount	equivalent in effect or value
tantra	one of the later Hindu or Buddhist scriptures dealing esp. with techniques and rituals including meditative and sexual practices
tantric	Hindu or Buddhist religious literature written in Sanskrit and concerned with mysticism and magic
tantrum	a fit of bad temper or rage, especially as exhibited by a young child
Taoism	a principal philosophy and system of religion of China based on the teachings of Lao-tzu in the 6th century B.C.
tarry	to delay or be late in going, coming, or doing
tawdry	gaudy and cheap in nature or appearance
tedious	tiresome by reason of length, slowness, or dullness; boring
telegenic	well-suited to the medium of television; especially : having an appearance and manner that are markedly attractive to television viewers
temerity	rash boldness
temperament	a person's natural physical and mental make-up
temperance	moderation and self-restraint, as in behavior or expression
tempest	violent windstorm, frequently accompanied by rain, snow, or hail; furious agitation, commotion, or tumult; an uproar
temporal	relating to, or limited by time; relating to the material world; worldly
tenable	capable of being maintained in argument; rationally defensible
tenacious	holding or tending to hold persistently to something, such as a point of view
tendentious	marked by a strong implicit point of view; partisan
tenebrous	shut off from the light : dark, murky; hard to understand : obscure
tenet	opinion, doctrine, or principle held as being true by a person or especially by an organization
tentative	done as a trial or experiment
tenuous	thin; not substantial; flimsy
tepid	lukewarm; lacking in emotional warmth or enthusiasm; halfhearted
terminus	end; final goal; end of railroad line
ternary	composed of three parts
terpsichorean	dancer
terra cotta	hard, semifired, waterproof ceramic clay used in pottery and building construction
terra firma	solid ground; dry land
terra incognita	unknown land; an unexplored region; new or unexplored field of knowledge
terse	brief and to the point; effectively concise
tertiary	third in place, order, degree, or rank
Theravada	a conservative branch of Buddhism comprising sects chiefly in Sri Lanka, Myanmar, Thailand, Laos, and Cambodia and adhering to the original
throng	large group of people gathered or crowded closely together; a multitude
thwack	to strike or hit with a flat object; whack
thwart	to prevent the occurrence, realization, or attainment of
timorous	apprehensive; timid
tinge	to apply a trace of color to; tint; to affect slightly, as with a contrasting quality
tirade	long angry or violent speech
titillate	to stimulate by touching lightly; tickle; to excite (another) pleasurably, superficially or erotically
tome	one of the books in a work of several volumes; a book, especially a large or scholarly one
Torah	Judaism. Pentateuch; the entire body of religious law and learning including both sacred literature and oral tradition
torpid	deprived of the power of motion or feeling; benumbed; dormant; hibernating; lethargic; apathetic
torpor	state of mental or physical inactivity or insensibility; lethargy; apathy
tort	damage, injury, or a wrongful act done willfully, negligently, or in circumstances involving strict liability; from the Latin word tortus, which means wrong or twisted
tractable	easily managed or controlled; governable
trammel	to catch or hold in or as if in a net : enmesh; to prevent or impede the free play of : confine
transcendental	concerned with the a priori or intuitive basis of knowledge as independent of experience; beyond common thought or experience
transgress	to go beyond or over (a limit or boundary); exceed or overstep
travail	pain, anguish, anxiety or suffering resulting from mental or physical hardship
travesty	exaggerated or grotesque imitation, such as a parody of a literary work; a debased or grotesque likeness
tremulous	trembling, quivering, or shaking; timid or fearful; timorous
trenchant	keen; incisive; cutting; sharp
trepidation	state of alarm or dread; apprehension
trespass	to enter unlawfully upon the land of another : to make an unwarranted or uninvited incursion
Triasic	the geologic time, system of rocks, and sedimentary deposits of the first period of the Mesozoic Era, after the Permian Period of the Paleoz
tribulation	great affliction, trial, or distress; suffering; an experience that tests one's endurance, patience, or faith
trice	very short period of time; an instant
trident	long, three-pronged fork or weapon, especially a three-pronged spear used for fishing
trifle	something of little importance or value; a small amount
Trinity	group consisting of three closely related members; the union of three divine persons, the Father, Son, and Holy Spirit, in one God
tripartite	composed of or divided into three parts
trite	lacking in freshness or effectiveness because of constant use or excessive repetition
triumvirate	association or a group of three; in this sense, also called troika
trivial	of little significance or value; ordinary; commonplace
troika	Russian carriage drawn by a team of three horses abreast; see triumvirate
trope	a figurative or metaphorical use of a word or expression
troposphere	lowest region of the atmosphere between the earth's surface and the tropopause, characterized by decreasing temperature with increasing altitude
truculent	disposed to fight; pugnacious; expressing bitter opposition; scathing
tumult	the din and commotion of a great crowd; a tempestuous uprising; a riot; agitation of the mind or emotions
tumultuous	noisy and disorderly; confusedly or violently agitated
turbid	having sediment or foreign particles stirred up or suspended; muddy; heavy, dark, or dense, as smoke or fog
turgid	swollen or distended, as from a fluid; bloated
turpitude	inherent baseness : depravity : vile, shameful, or base character; depravity
tyro	a beginner in learning something
ubiquitous	being or seeming to be everywhere at the same time; omnipresent
ulterior	lying beyond what is evident, revealed, or avowed, especially being concealed intentionally so as to deceive
umbrage	offense; resentment; shadow or shade
unary	consisting of or involving a single component or element
uncanny	seeming to have a supernatural character or origin : eerie, mysterious; being beyond what is normal or expected : suggesting superhuman or supernatural powers
uncanny valley	phenomenon whereby a computer-generated figure or humanoid robot bearing a near-identical resemblance to a human being arouses a sense of unease or revulsion in the person viewing it
unchaste	not chaste or modest
unconscionable	shocking and morally unacceptable
uncouth	crude; unrefined
unction	the act of anointing as part of a religious, ceremonial, or healing ritual
unctuous	exaggerated or insincere earnestness; oily; slippery
undulate	cause to move in a smooth wavelike motion
unequivocal	clear and unambiguous
unintelligible	difficult or impossible to understand
unmitigated	not diminished or moderated in intensity or severity; unrelieved
unobtrusive	not undesirably noticeable or blatant; inconspicuous
unsavory	distasteful or disagreeable; not savory; morally offensive
unscathed	not injured or harmed
unstinting	given or giving generously
urban	relating to, or located in a city; characteristic of the city or city life
urbane	polite, refined, and often elegant in manner
uterus	hollow muscular organ located in the pelvic cavity of female mammals in which the fertilized egg implants and develops (also called womb)
utmost	highest or greatest degree, amount, or intensity; most extreme
utopia	an ideally perfect place
utopian	excellent or ideal but impracticable; visionary
utterly	carried to the utmost point or highest degree : absolute, total
uxorious	excessively submissive or devoted to one's wife
vacillate	move from side to side; waver; change opinions constantly
vacuous	devoid of matter; empty; lacking intelligence; stupid; devoid of substance or meaning; inane
vagabond	person without a permanent home who moves from place to place
vagrant	one who wanders from place to place without a permanent home or a means of livelihood
vain	excessively proud of one's appearance or accomplishments; conceited
valor	courage and boldness, as in battle; bravery
vamp	an unscrupulous, seductive woman who uses her sex appeal to entrap and exploit men
vanguard	foremost or leading position in a trend or movement
vapid	lacking liveliness, animation, or interest; dull; lacking taste, zest, or flavor; flat
variegated	having streaks, marks, or patches of a different color or colors; varicolored
vassal	a person who held land from a feudal lord and received protection in return for homage and allegiance; a slave
vaunt	to boast or act boastfully about something such as achievements or possessions
Veda	oldest Hindu sacred texts, composed in Sanskrit and gathered into four collections
